Life expectancy at birth,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Luxembourg,36.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.9,,,,,,,,,,,,,,,,,,,,,,47.976,48.0568,46.9104,44.8272,46.208,46.5912,49.0008,46.4568,47.7936,49.664,46.3832,48.8816,50.2448,50.0696,51.4688,50.1152,48.0472,42.3344,44.6784,54.6224,56.2056,55.2664,54.684,56.7616,54.7888,53.4056,55.8592,55.352,52.7032,56.7984,57.5888,56.6616,58.3152,59.9032,59.1008,61.2008,61.064,59.2032,60.352,61.9472,59.9912,58.3328,54.32,47.836,49.4008,61.6128,63.0568,64.4936,64.84,65.248,65.42,65.761,66.092,66.415,66.73,67.035,67.333,67.622,67.903,69.07,69.57,68.67,68.89,69.07,69.4,69.31,69.69,70.28,69.84,69.58,69.47,70.71,70.47,70.55,70.5,70.45,71.75,71.71,72.4,72.57,72.38,72.47,73.35,73.11,73.68,74.61,74.15,74.75,74.68,75.39,75.47,75.16,75.74,76.36,76.47,76.49,76.81,77,77.67,77.82,77.95,78.08,77.96,79.26,79.56,79.44,79.358,79.563,79.646,79.811
Macao China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.789,60.102,60.722,61.332,61.934,62.526,63.108,63.68,64.241,64.791,65.328,65.851,66.358,66.85,67.324,67.782,68.222,68.647,69.058,69.456,69.844,70.224,70.597,70.964,71.326,71.684,72.035,72.38,72.718,73.047,73.369,73.682,73.989,74.289,74.583,74.87,75.153,75.43,75.702,75.968,76.23,76.486,76.736,76.98,77.219,77.453,77.681,77.905,78.125,78.34,78.55,78.754,78.952,79.145,79.336,79.531,79.738,79.961,80.198,80.445,80.695
Macedonia FYR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.087,53.577,54.535,55.45,56.322,57.151,57.938,58.684,59.393,60.068,60.715,61.34,61.949,62.547,63.136,63.715,64.281,64.828,65.354,65.857,66.347,66.834,67.321,67.805,68.275,68.706,69.066,69.336,69.513,69.606,69.643,69.659,69.695,69.779,69.922,70.125,70.375,70.641,70.901,71.144,71.362,71.554,71.725,71.883,72.03,72.171,72.31,72.451,72.598,72.752,72.915,73.084,73.258,73.433,73.608,73.784,73.961,74.14,74.32,74.499,74.676
Madagascar,30.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.5,,,,,35.752,35.99,36.46,36.92,37.369,37.808,38.237,38.656,39.067,39.471,39.871,40.268,40.666,41.065,41.466,41.871,42.275,42.679,43.08,43.478,43.874,44.268,44.662,45.058,45.457,45.869,46.306,46.767,47.246,47.73,48.183,48.564,48.854,49.051,49.172,49.255,49.351,49.513,49.785,50.188,50.732,51.411,52.19,53.035,53.927,54.853,55.803,56.772,57.749,58.721,59.682,60.629,61.562,62.47,63.335,64.128,64.819,65.395,65.856,66.213,66.489
Malawi,30.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.3,,,,,35.961,36.027,36.167,36.324,36.497,36.686,36.889,37.106,37.333,37.564,37.795,38.02,38.236,38.443,38.648,38.865,39.115,39.411,39.757,40.151,40.579,41.021,41.455,41.866,42.248,42.603,42.944,43.285,43.638,44.002,44.376,44.753,45.121,45.47,45.794,46.091,46.361,46.606,46.823,47.006,47.134,47.184,47.15,47.039,46.867,46.652,46.418,46.2,46.039,45.97,46.04,46.292,46.729,47.337,48.099,48.981,49.939,50.918,51.866,52.747,53.533
Malaysia,30.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.6,,,,,,,,,,,,,,,,,,,,54.246,54.535,55.11,55.677,56.235,56.784,57.326,57.859,58.383,58.899,59.406,59.904,60.393,60.873,61.342,61.801,62.249,62.685,63.109,63.522,63.923,64.313,64.692,65.061,65.421,65.771,66.112,66.444,66.767,67.082,67.389,67.688,67.98,68.264,68.541,68.812,69.074,69.329,69.576,69.817,70.05,70.278,70.5,70.717,70.929,71.137,71.34,71.538,71.732,71.921,72.105,72.28,72.449,72.612,72.774,72.939,73.117,73.31,73.52,73.746,73.982
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.049,33.317,33.842,34.349,34.836,35.305,35.758,36.199,36.634,37.075,37.537,38.031,38.573,39.17,39.821,40.52,41.252,41.998,42.744,43.483,44.208,44.917,45.619,46.327,47.051,47.814,48.645,49.551,50.531,51.571,52.642,53.706,54.726,55.677,56.55,57.345,58.074,58.77,59.462,60.169,60.907,61.69,62.516,63.384,64.293,65.245,66.239,67.263,68.298,69.325,70.323,71.271,72.154,72.962,73.688,74.326,74.879,75.362,75.791,76.175,76.525
Mali,29.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.6,,,,,29.55,29.607,29.714,29.808,29.888,29.956,30.014,30.067,30.122,30.194,30.299,30.453,30.673,30.968,31.34,31.782,32.283,32.821,33.375,33.933,34.484,35.026,35.56,36.089,36.611,37.125,37.631,38.131,38.629,39.125,39.622,40.127,40.638,41.153,41.666,42.167,42.645,43.089,43.497,43.869,44.208,44.525,44.831,45.137,45.447,45.763,46.081,46.396,46.705,47.011,47.316,47.627,47.948,48.283,48.633,49.001,49.386,49.785,50.194,50.609,51.027
Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.573,65.623,65.738,65.88,66.05,66.248,66.473,66.723,66.996,67.287,67.592,67.904,68.217,68.525,68.825,69.116,69.397,69.674,69.949,70.223,70.495,70.764,71.029,71.29,71.546,71.799,72.047,72.291,72.533,72.773,73.01,73.246,73.48,73.713,73.944,74.173,74.4,74.626,74.849,75.069,75.287,75.503,75.716,75.927,76.136,76.342,76.548,76.751,76.954,77.156,77.355,77.552,77.744,77.934,78.123,78.315,78.516,78.728,78.951,79.181,79.412
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martinique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.401,54.756,55.46,56.15,56.824,57.485,58.131,58.763,59.382,59.988,60.582,61.166,61.741,62.308,62.869,63.423,63.972,64.513,65.048,65.575,66.096,66.61,67.117,67.617,68.11,68.595,69.071,69.538,69.995,70.441,70.878,71.305,71.724,72.133,72.536,72.931,73.319,73.7,74.074,74.442,74.804,75.161,75.512,75.858,76.2,76.537,76.872,77.204,77.532,77.854,78.169,78.475,78.771,79.053,79.318,79.561,79.778,79.967,80.131,80.272,80.393
Mauritania,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,38.306,38.516,38.935,39.354,39.775,40.195,40.615,41.032,41.445,41.849,42.24,42.616,42.977,43.327,43.679,44.056,44.486,44.983,45.554,46.194,46.887,47.609,48.329,49.022,49.676,50.289,50.869,51.43,51.983,52.522,53.038,53.516,53.946,54.32,54.64,54.913,55.152,55.371,55.583,55.791,55.994,56.186,56.358,56.503,56.623,56.72,56.799,56.867,56.932,56.996,57.057,57.109,57.152,57.187,57.225,57.281,57.373,57.515,57.711,57.96,58.255
Mauritius,31.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.22,,,,,,,,,,33.8736,,,,,,,36.1688,,,33.288,,,38.6176,,,48.087,48.596,49.632,50.704,51.812,52.954,54.125,55.316,56.51,57.68,58.793,59.813,60.707,61.45,62.037,62.466,62.748,62.925,63.04,63.127,63.222,63.356,63.543,63.789,64.105,64.497,64.963,65.479,66.017,66.555,67.057,67.487,67.831,68.088,68.264,68.39,68.508,68.66,68.869,69.137,69.441,69.738,69.988,70.165,70.272,70.334,70.391,70.487,70.65,70.884,71.176,71.498,71.812,72.09,72.32,72.504,72.651,72.783,72.916,73.058,73.21
Mayotte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.983,44.716,46.15,47.519,48.824,50.064,51.24,52.353,53.405,54.398,55.337,56.225,57.068,57.872,58.642,59.383,60.097,60.783,61.442,62.078,62.692,63.286,63.859,64.413,64.95,65.471,65.976,66.467,66.943,67.407,67.857,68.294,68.717,69.128,69.528,69.918,70.301,70.676,71.046,71.412,71.773,72.129,72.48,72.825,73.164,73.495,73.82,74.137,74.447,74.751,75.052,75.354,75.659,75.962,76.259,76.537,76.782,76.986,77.147,77.267,77.357
Mexico,26.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.9,,,23.29,26.62,29.52,28.8,26.24,27.03,24.98,27.58,26.65,28.37,28.68,29.09,26.8,27.88,27.97,28.72,29.21,27.41,,,,,,,,,,,,32.6,33.5,32.8,32.1,34.2,40.3,34.5,35.4,36.2,37.7,38.4,37.3,38.2,40.4,38.3,36.8,39.4,45.5,39.2,42.6,39.8,42.8,43.2,44.2,44.8,46.3,48.3,45.8,48.518,49.076,50.167,51.209,52.202,53.145,54.037,54.878,55.664,56.39,57.053,57.649,58.177,58.643,59.057,59.436,59.795,60.152,60.522,60.916,61.346,61.815,62.317,62.842,63.385,63.937,64.491,65.037,65.57,66.083,66.574,67.045,67.499,67.941,68.373,68.798,69.215,69.626,70.032,70.434,70.834,71.234,71.634,72.032,72.423,72.802,73.161,73.495,73.802,74.083,74.343,74.589,74.829,75.071,75.316,75.565,75.816,76.064,76.303,76.532,76.749
Micronesia Fed. Sts.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.777,53.977,54.377,54.777,55.177,55.578,55.979,56.38,56.781,57.181,57.581,57.981,58.38,58.778,59.177,59.577,59.979,60.386,60.797,61.211,61.634,62.071,62.519,62.971,63.419,63.843,64.225,64.552,64.817,65.022,65.172,65.281,65.369,65.453,65.542,65.642,65.753,65.868,65.983,66.098,66.212,66.325,66.439,66.552,66.665,66.776,66.884,66.99,67.092,67.194,67.298,67.407,67.523,67.649,67.785,67.933,68.091,68.259,68.434,68.613,68.795
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.462,57.706,58.184,58.644,59.084,59.507,59.912,60.301,60.678,61.049,61.419,61.794,62.178,62.57,62.963,63.345,63.701,64.017,64.282,64.492,64.646,64.746,64.806,64.838,64.85,64.842,64.808,64.752,64.685,64.628,64.618,64.7,64.893,65.197,65.595,66.051,66.513,66.926,67.247,67.456,67.541,67.505,67.387,67.225,67.047,66.886,66.774,66.726,66.747,66.84,66.993,67.181,67.376,67.556,67.717,67.868,68.025,68.211,68.438,68.704,69.002
Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia,31.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.8,,,,,42.818,42.924,43.19,43.558,44.029,44.603,45.274,46.036,46.877,47.774,48.701,49.63,50.529,51.373,52.146,52.848,53.492,54.099,54.684,55.242,55.757,56.207,56.577,56.859,57.058,57.18,57.236,57.252,57.257,57.276,57.343,57.489,57.721,58.033,58.416,58.843,59.277,59.681,60.027,60.306,60.515,60.665,60.786,60.908,61.051,61.235,61.478,61.783,62.151,62.58,63.071,63.617,64.201,64.803,65.405,65.986,66.528,67.022,67.466,67.857,68.198
Montenegro,35.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.148,58.394,58.879,59.351,59.81,60.257,60.694,61.124,61.551,61.987,62.442,62.927,63.453,64.027,64.648,65.315,66.021,66.752,67.49,68.221,68.933,69.618,70.273,70.89,71.461,71.977,72.429,72.819,73.152,73.432,73.664,73.855,74.017,74.161,74.3,74.449,74.624,74.826,75.049,75.285,75.515,75.716,75.865,75.949,75.96,75.897,75.765,75.583,75.373,75.149,74.924,74.706,74.5,74.316,74.164,74.059,74.013,74.026,74.096,74.216,74.38
Montserrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,33.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.1,,,,,,,,,,41.87,42.128,42.644,43.158,43.671,44.182,44.692,45.199,45.704,46.207,46.708,47.205,47.699,48.191,48.681,49.17,49.659,50.149,50.641,51.139,51.641,52.148,52.659,53.18,53.715,54.278,54.881,55.53,56.224,56.955,57.71,58.47,59.216,59.934,60.614,61.255,61.864,62.45,63.025,63.589,64.142,64.679,65.197,65.693,66.166,66.62,67.057,67.48,67.893,68.297,68.69,69.07,69.435,69.784,70.116,70.433,70.738,71.034,71.323,71.605,71.882
Mozambique,30.278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.277,30.53,31.035,31.541,32.046,32.551,33.056,33.558,34.056,34.547,35.026,35.49,35.936,36.363,36.773,37.173,37.57,37.97,38.38,38.803,39.244,39.708,40.19,40.678,41.157,41.606,42.001,42.328,42.577,42.747,42.839,42.86,42.832,42.782,42.731,42.698,42.701,42.748,42.846,43.007,43.245,43.573,43.983,44.455,44.97,45.494,45.99,46.43,46.799,47.088,47.304,47.46,47.591,47.728,47.887,48.087,48.337,48.635,48.976,49.359,49.782
Myanmar,30.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.8,,,,,,,,,,,,,,,30.8,28,28.5,28.1,28,,,30.8,,33.307,34.043,35.453,36.742,37.909,38.955,39.887,40.711,41.441,42.102,42.724,43.336,43.969,44.648,45.38,46.16,46.97,47.778,48.557,49.299,50.003,50.679,51.339,51.985,52.611,53.2,53.729,54.184,54.557,54.85,55.063,55.202,55.291,55.359,55.43,55.541,55.723,55.989,56.344,56.785,57.302,57.875,58.469,59.052,59.606,60.113,60.561,60.959,61.312,61.622,61.891,62.119,62.318,62.503,62.689,62.897,63.151,63.459,63.823,64.242,64.705
Namibia,32.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.4,,,,,,,,,,40.253,40.633,41.386,42.126,42.852,43.565,44.263,44.947,45.617,46.271,46.909,47.529,48.133,48.719,49.291,49.851,50.403,50.948,51.491,52.031,52.57,53.107,53.639,54.166,54.687,55.208,55.735,56.268,56.805,57.338,57.856,58.346,58.796,59.198,59.548,59.849,60.111,60.344,60.55,60.726,60.86,60.936,60.941,60.866,60.708,60.442,60.04,59.519,58.918,58.294,57.748,57.393,57.297,57.488,57.956,58.652,59.487,60.341,61.112,61.745,62.2
Nauru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,32.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.8,,,,,35.612,35.749,36.028,36.313,36.604,36.901,37.205,37.516,37.835,38.161,38.497,38.844,39.203,39.577,39.965,40.371,40.796,41.238,41.698,42.175,42.668,43.177,43.701,44.237,44.782,45.336,45.894,46.458,47.024,47.593,48.164,48.737,49.313,49.894,50.479,51.064,51.646,52.223,52.799,53.38,53.976,54.602,55.265,55.97,56.715,57.496,58.303,59.122,59.941,60.752,61.561,62.375,63.198,64.028,64.849,65.64,66.371,67.024,67.589,68.065,68.461
Netherlands,39.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.86,40,38.66,38.63,38.63,34.53,38.39,35.46,34.66,30.86,36.91,36.44,38.28,38.33,37.56,36.37,33.64,39.31,37.75,40.47,37.34,32.94,36.49,39.2,41.3,38.24,40.35,42.03,41.1,41.96,40.39,42.87,43.79,42.35,41.34,43.3,41.98,44.99,44.22,44.35,44.4,44.25,43.95,45.8,46.93,46.64,48.56,49.36,49.03,49.35,48.4,48.72,50.61,51.51,50.9,52.11,52.78,53.54,52.76,54.96,55.14,53.17,57.21,57.37,57.2,57.22,56.16,55.67,47.61,54.98,57.84,59.77,59.84,62.06,62.97,63.18,63.04,62.65,63.74,62.19,64.73,64.35,65.44,66.08,66.62,66.54,66.76,66.98,67.4,67.73,65.4,65.33,65.84,64.43,61.26,55.45,67.58,69.53,71.05,70.28,71.45,71.51,72.13,71.71,72.4,72.52,72.54,72.99,73.15,73.19,73.37,73.56,73.23,73.35,73.73,73.6,73.55,73.82,73.63,73.54,73.6,73.84,73.75,74.2,74.59,74.52,74.65,75.24,75.15,75.63,75.76,75.97,76.05,76.25,76.32,76.38,76.36,76.83,77.03,76.87,77.05,77.21,77.42,77.11,77.6,77.64,77.65,78.03,78.12,78.07,78.24,78.45,78.53,78.79,79.38,79.65,80,79.824,80.024,80.444,80.605
Netherlands Antilles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.408,58.959,60.02,60.997,61.891,62.702,63.43,64.079,64.651,65.154,65.596,65.987,66.341,66.673,66.996,67.325,67.67,68.032,68.411,68.806,69.216,69.632,70.046,70.45,70.839,71.214,71.579,71.938,72.291,72.635,72.964,73.273,73.555,73.804,74.019,74.193,74.326,74.422,74.485,74.522,74.536,74.534,74.52,74.501,74.486,74.478,74.481,74.496,74.525,74.572,74.648,74.759,74.907,75.09,75.3,75.528,75.759,75.981,76.184,76.363,76.518
New Caledonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.695,49.213,50.229,51.209,52.153,53.061,53.933,54.77,55.572,56.34,57.076,57.781,58.459,59.112,59.742,60.35,60.938,61.505,62.052,62.58,63.09,63.584,64.061,64.522,64.969,65.403,65.824,66.233,66.631,67.018,67.395,67.762,68.119,68.467,68.804,69.133,69.453,69.764,70.066,70.361,70.648,70.927,71.2,71.465,71.725,71.977,72.222,72.458,72.69,72.919,73.152,73.393,73.648,73.919,74.206,74.512,74.838,75.178,75.525,75.872,76.208
New Zealand,34.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.86,68.98,69.29,69.16,69.39,70.24,70.35,70.48,70.74,70.26,70.89,70.8,71.26,70.98,71.24,71.31,71.35,71.28,71.14,71.52,71.18,71.55,71.33,71.78,71.89,71.75,72,72.27,72.47,72.22,73.11,73.15,72.95,73.74,73.84,73.94,74.49,73.99,74.24,74.32,74.6,75.01,75.56,76.2,76.33,76.62,77.07,76.94,76.98,77.55,78.37,78.14,78.9,78.91,79.11,79.41,79.593,79.799,79.98,80.145,80.301,80.366,80.515
Ngorno-Karabakh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicaragua,25.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.4,,,,,24.35,,,,,,,,,,,,,,,,,,,34.47048,,,,,,,,,,40.68,41.006,41.659,42.314,42.97,43.629,44.288,44.949,45.611,46.274,46.938,47.602,48.265,48.927,49.588,50.253,50.924,51.603,52.286,52.967,53.638,54.286,54.904,55.484,56.023,56.517,56.962,57.368,57.745,58.108,58.469,58.843,59.24,59.672,60.148,60.683,61.286,61.951,62.664,63.411,64.166,64.901,65.596,66.234,66.812,67.332,67.811,68.272,68.733,69.202,69.68,70.167,70.651,71.123,71.579,72.012,72.419,72.8,73.153,73.478,73.775
